event_id,event_date,event_type,city,capacity,tickets_sold,revenue,cost
EVT_54,2025-04-19,Community event,Bruxelles,189,180,13490.55,9304.14
EVT_55,2024-05-02,Customer workshop,Paris,301,181,10236.07,4188.65
EVT_56,2025-06-12,Customer workshop,Amsterdam,311,162,11501.84,6205.83
EVT_57,2024-06-25,Community event,Berlin,125,125,1923.71,1096.32
EVT_58,2025-01-14,Webinar,Lisbonne,271,50,3452.87,1682.17
EVT_59,2025-05-15,Training,Berlin,198,32,2005.08,1093.29
EVT_60,2024-08-26,Community event,Lisbonne,325,133,2903.94,1195.48
EVT_61,2024-08-13,Customer workshop,Amsterdam,303,134,3156.82,1436.13
EVT_62,2025-02-26,Partner session,Madrid,338,180,13304.31,9871.38
EVT_63,2025-01-10,Product demo,Berlin,124,94,3026.71,1215.96
EVT_64,2025-04-08,Partner session,Paris,157,74,5732.8,4289.29
EVT_65,2025-03-18,Product demo,Lisbonne,389,41,2761.94,1408.85
EVT_66,2024-11-24,Customer workshop,Lisbonne,335,254,9148.93,4449.51
EVT_67,2025-05-26,Product demo,Berlin,61,44,2791.0,1764.33
EVT_68,2025-04-25,Training,Madrid,59,49,2753.79,1967.6
EVT_69,2025-05-02,Partner session,Amsterdam,152,129,2975.13,1356.41
EVT_70,2025-06-22,Customer workshop,Berlin,366,274,21257.51,12683.7
EVT_71,2024-01-10,Training,Amsterdam,232,34,1128.91,755.42
EVT_72,2024-09-29,Training,Paris,194,28,2205.97,1073.15
EVT_73,2024-02-26,Customer workshop,Madrid,380,318,19015.52,12617.29
EVT_74,2025-05-30,Partner session,Madrid,105,72,2123.87,1111.83
EVT_75,2024-09-10,Customer workshop,Bruxelles,63,42,2249.44,886.21
EVT_76,2024-02-22,Customer workshop,Berlin,351,110,8241.37,5506.09
EVT_77,2024-01-21,Customer workshop,Amsterdam,258,207,8043.06,4565.72
EVT_78,2024-02-08,Customer workshop,Amsterdam,219,51,3358.95,1438.8
EVT_79,2025-05-14,Product demo,Madrid,361,332,15906.18,7019.89
EVT_80,2024-12-18,Webinar,Berlin,51,28,1344.5,758.31
EVT_81,2024-02-19,Webinar,Berlin,364,232,4797.17,2353.31
EVT_82,2024-11-04,Partner session,Bruxelles,135,133,8965.61,3903.33
EVT_83,2024-03-02,Partner session,Lisbonne,253,161,3299.99,1988.06
EVT_84,2024-11-11,Partner session,Madrid,340,102,6682.82,3814.58
EVT_85,2025-01-04,Training,Amsterdam,354,285,10946.79,5426.61
EVT_86,2024-09-20,Webinar,Berlin,53,45,895.69,402.94
EVT_87,2025-04-02,Customer workshop,Berlin,95,45,3404.65,1498.19
EVT_88,2024-12-05,Webinar,Paris,369,192,9471.42,4443.24
EVT_89,2024-04-19,Customer workshop,Bruxelles,400,268,20688.14,7768.64
EVT_90,2025-02-20,Partner session,Paris,348,347,25688.51,13283.38
EVT_91,2024-03-10,Partner session,Paris,124,86,6206.63,2929.4
EVT_92,2025-03-05,Webinar,Lisbonne,79,36,1049.12,432.47
EVT_93,2025-06-22,Webinar,Lisbonne,94,77,6126.49,3654.48
EVT_94,2024-04-06,Customer workshop,Paris,176,94,5551.43,2494.26
EVT_95,2025-02-19,Partner session,Amsterdam,394,366,21276.9,15475.99
EVT_96,2024-06-22,Community event,Berlin,208,123,3888.04,2242.01
EVT_97,2025-03-06,Training,Madrid,282,83,2194.99,1424.46
EVT_98,2024-07-16,Webinar,Bruxelles,114,43,2479.13,1518.87
EVT_99,2024-05-09,Webinar,Paris,320,84,1376.95,852.87
EVT_100,2024-11-06,Community event,Lisbonne,199,161,8662.44,6431.04
EVT_101,2024-11-08,Webinar,Berlin,387,86,2772.21,1689.74
EVT_102,2024-04-09,Partner session,Lisbonne,344,210,8900.26,6178.67
EVT_103,2024-04-14,Community event,Lisbonne,239,222,10878.25,6581.32
EVT_104,2025-03-22,Webinar,Bruxelles,198,140,8049.37,4125.48
EVT_105,2024-05-04,Product demo,Madrid,291,75,2435.51,1721.62
EVT_106,2025-04-07,Product demo,Madrid,50,32,2123.23,1272.12
EVT_107,2025-01-26,Partner session,Paris,332,100,5580.12,3253.29
EVT_108,2025-04-16,Partner session,Lisbonne,184,31,1084.4,580.22
EVT_109,2025-06-24,Community event,Bruxelles,250,116,3968.03,2940.94
EVT_110,2024-09-05,Customer workshop,Berlin,135,42,2875.09,1399.77
EVT_111,2024-04-23,Webinar,Paris,130,60,2752.54,1033.52
EVT_112,2024-10-30,Training,Madrid,254,139,2448.69,1469.5
EVT_113,2024-01-20,Community event,Berlin,163,98,4275.19,3178.78
EVT_114,2025-03-23,Training,Berlin,145,70,4493.41,2084.72
EVT_115,2024-01-30,Customer workshop,Berlin,61,37,1782.98,1207.62
EVT_116,2025-06-12,Product demo,Bruxelles,378,322,20641.87,8003.61
EVT_117,2025-04-09,Customer workshop,Madrid,102,74,5289.52,3868.98
EVT_118,2024-06-03,Community event,Madrid,51,35,2519.31,1632.8
EVT_119,2025-05-31,Product demo,Berlin,315,213,4717.24,2385.48
EVT_120,2025-05-03,Partner session,Paris,151,97,5235.65,3025.13
