month,channel,spend,impressions,clicks,conversions
2025-02-01,Partnership,4430.73,74764,1024,94
2025-03-01,Instagram,4462.74,53429,4195,488
2025-03-01,TikTok,3027.23,138179,8277,313
2025-03-01,LinkedIn,3393.42,62031,1276,184
2025-03-01,Google Search,6267.47,37688,1497,152
2025-03-01,Referral,8686.2,61081,2610,98
2025-03-01,Event Walk-in,5785.43,33397,580,24
2025-03-01,Partnership,5650.82,142009,10272,1196
2025-04-01,Instagram,10470.47,52579,2291,235
2025-04-01,TikTok,3972.4,75771,3193,281
2025-04-01,LinkedIn,8156.58,116155,8522,1010
2025-04-01,Google Search,7688.38,45222,2698,405
2025-04-01,Referral,1520.68,120571,9520,274
2025-04-01,Event Walk-in,4610.52,45413,1616,190
2025-04-01,Partnership,2282.24,108372,4471,411
2025-05-01,Instagram,6067.63,145537,4230,554
2025-05-01,TikTok,3844.29,68670,3219,136
2025-05-01,LinkedIn,2847.34,115791,2588,221
2025-05-01,Google Search,2808.76,38553,2354,234
2025-05-01,Referral,4462.66,70825,3863,198
2025-05-01,Event Walk-in,5931.77,134317,6404,208
2025-05-01,Partnership,5669.3,53380,3753,491
2025-06-01,Instagram,3470.67,110545,4732,196
2025-06-01,TikTok,6447.65,29255,2052,179
2025-06-01,LinkedIn,10752.33,134836,2420,273
2025-06-01,Google Search,2637.78,72079,5346,519
2025-06-01,Referral,8642.71,78737,6142,164
2025-06-01,Event Walk-in,2238.48,10201,784,54
2025-06-01,Partnership,3549.79,78168,2416,108
