event_id,event_date,event_type,city,capacity,tickets_sold,revenue,cost
EVT_33,2025-04-13,Pop-up store,Lyon,134,110,1884.59,1078.15
EVT_34,2024-09-22,Private sale,Paris,162,136,7870.85,3666.54
EVT_35,2024-10-23,Private sale,Lyon,133,35,2122.11,1479.75
EVT_36,2025-01-12,Influencer event,Bruxelles,104,31,1163.24,481.12
EVT_37,2025-04-27,Influencer event,Bordeaux,202,177,12224.16,4347.7
EVT_38,2025-03-01,Private sale,Lyon,272,223,9623.0,5269.65
EVT_39,2024-08-06,Live shopping,Bruxelles,363,73,3138.05,1229.9
EVT_40,2025-01-10,Private sale,Paris,86,56,1413.2,735.17
EVT_41,2024-11-16,Private sale,Paris,357,107,7916.73,4728.41
EVT_42,2024-11-04,Private sale,Paris,319,138,2624.43,1158.15
EVT_43,2024-04-06,VIP preview,Lille,125,92,2032.24,1300.64
EVT_44,2025-04-28,Pop-up store,Lille,214,158,3103.65,1867.1
EVT_45,2025-03-17,Live shopping,Bruxelles,224,64,2581.02,1099.5
EVT_46,2025-03-29,Private sale,Lyon,379,114,1815.71,1192.62
EVT_47,2024-11-18,Live shopping,Lille,120,61,2096.69,1295.69
EVT_48,2024-12-15,Pop-up store,Lyon,263,81,1348.17,559.25
EVT_49,2025-06-26,Live shopping,Bordeaux,347,315,10927.22,8081.76
EVT_50,2024-12-03,Product launch,Paris,390,193,9353.11,6355.12
EVT_51,2025-04-01,Private sale,Bruxelles,372,290,19179.13,14065.17
EVT_52,2024-11-30,Live shopping,Lille,260,251,5300.64,3392.46
EVT_53,2024-08-02,VIP preview,Lille,254,162,12475.16,8266.48
EVT_54,2024-06-11,Private sale,Bruxelles,182,71,4697.61,1960.12
EVT_55,2024-04-02,Pop-up store,Marseille,378,236,11690.87,5724.45
EVT_56,2024-08-14,Influencer event,Lyon,165,87,1552.68,588.34
EVT_57,2024-01-27,Product launch,Lille,171,115,6442.69,4808.13
EVT_58,2024-10-14,Private sale,Bordeaux,340,265,8052.14,5707.02
EVT_59,2025-04-13,Pop-up store,Bruxelles,179,128,6926.19,4488.66
EVT_60,2024-01-08,Influencer event,Bordeaux,191,175,8950.0,4100.87
EVT_61,2024-06-11,Influencer event,Lille,216,100,4329.93,2529.99
EVT_62,2024-04-03,Product launch,Lille,53,48,2089.02,1433.69
EVT_63,2025-01-05,Live shopping,Lyon,266,200,7463.93,3901.21
EVT_64,2024-01-04,Influencer event,Paris,82,48,1996.92,1310.79
EVT_65,2025-04-29,VIP preview,Lille,105,83,2759.76,1214.49
EVT_66,2024-10-22,Influencer event,Bordeaux,258,211,3253.01,2135.49
EVT_67,2025-01-23,VIP preview,Marseille,251,99,7659.35,4234.57
EVT_68,2024-11-05,Influencer event,Lyon,317,282,19394.17,9507.3
EVT_69,2025-05-21,Private sale,Lille,88,59,1211.87,597.02
EVT_70,2024-03-01,VIP preview,Marseille,214,133,2885.66,2145.73
EVT_71,2024-06-11,Product launch,Marseille,64,56,1704.11,906.54
EVT_72,2025-02-11,Influencer event,Bordeaux,377,127,6421.35,3642.2
EVT_73,2025-01-15,Influencer event,Marseille,68,28,696.8,519.74
EVT_74,2024-07-04,Private sale,Paris,218,214,6026.43,3707.72
EVT_75,2024-05-27,Influencer event,Marseille,260,50,2771.51,2007.23
EVT_76,2024-03-31,Product launch,Lille,194,27,1806.14,1334.54
EVT_77,2025-06-17,VIP preview,Bordeaux,239,112,7944.25,5594.05
EVT_78,2024-09-02,Private sale,Lyon,360,307,5888.8,2427.88
EVT_79,2024-06-23,Private sale,Paris,295,42,1007.47,561.65
EVT_80,2024-06-21,Influencer event,Lyon,72,42,3116.71,1153.07
EVT_81,2025-02-27,VIP preview,Lyon,236,176,11219.38,4022.51
EVT_82,2024-02-19,Live shopping,Bruxelles,153,35,1633.71,720.43
EVT_83,2025-05-25,Live shopping,Bruxelles,184,50,2337.92,1569.02
EVT_84,2025-05-07,Product launch,Lille,89,52,2065.97,959.89
EVT_85,2025-02-04,Pop-up store,Lyon,64,59,2488.44,1275.99
EVT_86,2024-12-30,Influencer event,Paris,75,24,1815.61,764.01
EVT_87,2025-06-12,Product launch,Paris,145,100,7922.15,5381.84
EVT_88,2024-07-14,Live shopping,Paris,200,134,2551.76,1115.79
EVT_89,2024-10-14,Live shopping,Bruxelles,58,28,1669.22,1212.61
EVT_90,2025-02-08,Live shopping,Lyon,375,125,5956.52,2647.93
EVT_91,2025-06-12,Private sale,Bruxelles,253,38,2673.85,1270.66
EVT_92,2024-01-11,Product launch,Lille,273,211,8403.08,3684.65
EVT_93,2025-05-23,Pop-up store,Bordeaux,387,142,8946.44,5790.02
EVT_94,2024-04-15,Influencer event,Lyon,391,106,3207.42,2098.37
EVT_95,2024-07-27,Influencer event,Marseille,212,206,9984.09,3900.06
EVT_96,2025-03-26,Live shopping,Paris,108,42,2712.81,1191.07
EVT_97,2024-07-17,Influencer event,Paris,63,46,1049.63,712.89
EVT_98,2025-06-14,Pop-up store,Bordeaux,219,51,3991.19,1987.61
EVT_99,2025-03-17,Live shopping,Bruxelles,192,170,13162.45,5331.0
EVT_100,2024-06-21,Product launch,Paris,296,41,913.26,416.53
EVT_101,2024-06-27,Pop-up store,Paris,64,60,3834.09,1397.13
EVT_102,2024-12-14,Influencer event,Paris,64,62,4944.51,3091.6
EVT_103,2025-06-27,VIP preview,Lyon,348,331,17060.36,10789.97
EVT_104,2024-06-16,Product launch,Bruxelles,249,210,15957.98,8747.15
EVT_105,2024-02-06,Private sale,Lyon,210,126,3552.33,1296.44
EVT_106,2024-01-13,Live shopping,Lille,328,203,15458.13,8893.36
EVT_107,2024-08-18,Product launch,Bruxelles,327,208,13758.94,8794.23
EVT_108,2025-02-02,Private sale,Lyon,86,78,4685.02,1708.46
EVT_109,2024-08-21,Influencer event,Lyon,189,141,4097.6,2535.63
EVT_110,2024-04-18,Private sale,Bordeaux,236,65,4418.93,2934.49
EVT_111,2024-09-22,VIP preview,Bruxelles,84,24,1747.94,652.46
EVT_112,2024-08-22,Pop-up store,Lyon,104,85,3784.86,2332.49
EVT_113,2024-04-18,Pop-up store,Lyon,102,24,1851.95,767.22
EVT_114,2025-05-21,Pop-up store,Bordeaux,287,153,6578.92,2405.52
EVT_115,2024-02-28,VIP preview,Lille,210,94,2565.02,1673.18
EVT_116,2025-02-07,Product launch,Paris,319,187,3008.76,1839.84
EVT_117,2024-07-09,Pop-up store,Marseille,244,208,14436.76,8426.41
EVT_118,2025-02-05,VIP preview,Marseille,179,84,3613.14,1942.45
EVT_119,2025-02-13,Pop-up store,Lille,294,258,19742.67,14350.2
EVT_120,2024-10-26,Live shopping,Lille,212,142,6725.46,4664.47
