month,channel,spend,impressions,clicks,conversions
2025-02-01,Instagram,2868.31,112639,2221,157
2025-02-01,TikTok,3996.21,110327,3603,132
2025-02-01,LinkedIn,3554.41,70595,2310,157
2025-02-01,Google Search,1193.26,57723,4527,131
2025-02-01,Referral,6041.81,56457,979,71
2025-02-01,Event Walk-in,5499.08,143724,8769,240
2025-02-01,Partnership,1183.96,103797,6178,405
2025-03-01,Instagram,6575.9,11903,448,22
2025-03-01,TikTok,5113.22,52141,1139,118
2025-03-01,LinkedIn,4971.47,119823,2253,258
2025-03-01,Google Search,5041.47,14122,518,59
2025-03-01,Referral,4313.2,10670,419,8
2025-03-01,Event Walk-in,5495.82,37572,2142,92
2025-03-01,Partnership,6006.73,103218,4741,345
2025-04-01,Instagram,1767.19,20911,1395,107
2025-04-01,TikTok,1847.35,69716,5131,570
2025-04-01,LinkedIn,1546.08,144160,4308,446
2025-04-01,Google Search,2176.85,147515,4876,566
2025-04-01,Referral,6286.07,14572,601,41
2025-04-01,Event Walk-in,6606.99,85986,4317,150
2025-04-01,Partnership,2265.81,125271,5549,445
2025-05-01,Instagram,1748.02,18116,765,45
2025-05-01,TikTok,3200.35,62117,1583,127
2025-05-01,LinkedIn,4195.99,54543,576,30
2025-05-01,Google Search,859.31,122271,2157,72
2025-05-01,Referral,842.76,67388,2482,140
2025-05-01,Event Walk-in,6423.35,112190,1126,68
2025-05-01,Partnership,5233.16,85821,4341,175
2025-06-01,Instagram,2258.87,113987,4057,274
2025-06-01,TikTok,2085.83,58673,1588,156
2025-06-01,LinkedIn,5647.37,126645,5487,581
2025-06-01,Google Search,4998.2,133009,2738,292
2025-06-01,Referral,4293.38,45293,1786,208
2025-06-01,Event Walk-in,6080.04,90459,4315,513
2025-06-01,Partnership,5973.42,122310,4094,330
