month,channel,spend,impressions,clicks,conversions
2024-09-01,Referral,3568.39,81719,6006,607
2024-09-01,Event Walk-in,5248.13,113738,7694,410
2024-09-01,Partnership,5090.02,109894,8094,633
2024-10-01,Instagram,2374.1,31080,1346,66
2024-10-01,TikTok,1643.57,133124,1730,195
2024-10-01,LinkedIn,827.39,137023,2564,103
2024-10-01,Google Search,5764.0,107713,7366,401
2024-10-01,Referral,1860.01,112803,3364,197
2024-10-01,Event Walk-in,1870.94,39129,1875,67
2024-10-01,Partnership,1187.91,139038,4323,94
2024-11-01,Instagram,3234.38,19037,1283,122
2024-11-01,TikTok,1515.36,88793,2522,142
2024-11-01,LinkedIn,1438.65,129839,9439,930
2024-11-01,Google Search,2519.73,140908,10728,774
2024-11-01,Referral,4751.84,29651,1121,89
2024-11-01,Event Walk-in,1004.12,26660,773,78
2024-11-01,Partnership,5150.02,144417,9647,1143
2024-12-01,Instagram,2330.65,100709,3402,82
2024-12-01,TikTok,2284.43,112267,8366,828
2024-12-01,LinkedIn,510.76,10199,481,39
2024-12-01,Google Search,1015.06,115199,8821,325
2024-12-01,Referral,5717.63,149539,5015,371
2024-12-01,Event Walk-in,2753.92,118111,8222,573
2024-12-01,Partnership,4006.75,137347,10662,1085
2025-01-01,Instagram,1653.05,135332,9549,260
2025-01-01,TikTok,2077.58,132289,9624,1049
2025-01-01,LinkedIn,762.37,145956,3592,124
2025-01-01,Google Search,2492.13,149767,5129,479
2025-01-01,Referral,4378.14,144186,7232,279
2025-01-01,Event Walk-in,1790.53,45607,1740,187
2025-01-01,Partnership,5060.74,79605,4555,420
2025-02-01,Instagram,685.05,55335,3192,285
2025-02-01,TikTok,3686.25,73070,3677,171
2025-02-01,LinkedIn,2170.95,11057,637,33
2025-02-01,Google Search,1748.32,127110,1996,117
2025-02-01,Referral,2593.79,118362,2321,154
2025-02-01,Event Walk-in,3555.64,82141,6396,476
2025-02-01,Partnership,3478.17,111961,7946,614
2025-03-01,Instagram,1036.87,14064,411,17
2025-03-01,TikTok,2444.0,132335,1574,82
2025-03-01,LinkedIn,4556.41,25653,899,83
2025-03-01,Google Search,5078.21,43680,439,46
2025-03-01,Referral,3376.85,41950,736,33
2025-03-01,Event Walk-in,1306.31,66139,2351,160
2025-03-01,Partnership,3110.15,71307,3253,333
2025-04-01,Instagram,3152.23,147601,8176,803
2025-04-01,TikTok,5046.85,48168,3223,92
2025-04-01,LinkedIn,981.98,107148,5467,627
2025-04-01,Google Search,4509.81,16997,247,19
2025-04-01,Referral,4754.03,114379,8855,882
2025-04-01,Event Walk-in,2752.96,65555,4249,240
2025-04-01,Partnership,1750.79,96467,7293,479
2025-05-01,Instagram,1225.81,104604,4411,114
2025-05-01,TikTok,1892.99,79932,838,92
2025-05-01,LinkedIn,4215.16,61237,1435,48
2025-05-01,Google Search,5661.01,13234,734,53
2025-05-01,Referral,1644.04,110943,2577,299
2025-05-01,Event Walk-in,5693.84,106150,1408,161
2025-05-01,Partnership,637.3,139051,5327,462
2025-06-01,Instagram,3622.66,60131,2142,138
2025-06-01,TikTok,4382.28,105770,7780,221
2025-06-01,LinkedIn,2809.3,123388,2354,228
2025-06-01,Google Search,1474.64,97174,3099,176
2025-06-01,Referral,1957.71,45456,630,32
2025-06-01,Event Walk-in,5000.57,40592,1130,118
2025-06-01,Partnership,5130.89,59694,4370,473
