event_id,event_date,event_type,city,capacity,tickets_sold,revenue,cost
EVT_65,2025-02-19,Marché créatif,Lyon,112,22,1432.17,706.78
EVT_66,2024-11-02,Networking,Lyon,138,67,4483.19,1760.92
EVT_67,2025-06-26,Concert privé,Paris,302,149,8929.78,5667.95
EVT_68,2025-06-03,Expo culturelle,Paris,262,241,18514.62,8189.88
EVT_69,2024-06-16,Marché créatif,Paris,192,75,2379.53,1426.19
EVT_70,2025-05-11,Expo culturelle,Paris,119,79,3480.82,2113.98
EVT_71,2024-10-30,Concert privé,Bruxelles,283,257,6189.29,3177.32
EVT_72,2024-09-28,Expo culturelle,Lyon,397,266,11490.48,6117.77
EVT_73,2025-04-26,Expo culturelle,Lille,328,305,8167.93,4189.7
EVT_74,2024-12-23,Marché créatif,Paris,120,79,2573.68,940.24
EVT_75,2025-01-26,Workshop,Paris,189,26,988.0,540.66
EVT_76,2024-01-09,Concert privé,Anvers,219,159,2493.73,1170.92
EVT_77,2024-08-07,Networking,Lyon,376,209,4216.57,1554.91
EVT_78,2024-02-18,Workshop,Anvers,202,132,2868.52,1614.65
EVT_79,2025-04-22,Workshop,Bruxelles,374,154,5288.82,3583.21
EVT_80,2025-05-09,Concert privé,Kinshasa,188,29,846.74,541.8
EVT_81,2024-07-03,Marché créatif,Kinshasa,370,130,8080.71,4393.81
EVT_82,2025-01-20,Marché créatif,Anvers,201,108,5141.5,3037.3
EVT_83,2024-08-28,Expo culturelle,Bruxelles,395,313,9339.05,5731.14
EVT_84,2025-05-06,Networking,Paris,318,53,2061.65,1131.29
EVT_85,2024-05-26,Marché créatif,Paris,330,115,8792.72,6524.81
EVT_86,2024-02-27,Expo culturelle,Bruxelles,339,157,3013.51,1577.75
EVT_87,2025-05-06,Conférence,Lille,181,165,4616.48,3358.13
EVT_88,2024-09-10,Expo culturelle,Lyon,376,343,27224.72,16561.63
EVT_89,2024-12-31,Marché créatif,Anvers,276,138,8570.65,6135.54
EVT_90,2024-10-07,Marché créatif,Paris,194,107,6001.28,3024.89
EVT_91,2025-02-23,Conférence,Kinshasa,394,298,8149.02,6082.21
EVT_92,2024-08-02,Marché créatif,Kinshasa,318,68,4115.27,2008.03
EVT_93,2024-08-25,Concert privé,Kinshasa,122,116,6297.22,3542.93
EVT_94,2025-02-21,Concert privé,Lyon,103,32,1486.94,1028.79
EVT_95,2024-10-14,Conférence,Lille,253,191,11604.26,7751.04
EVT_96,2024-09-12,Expo culturelle,Lille,391,286,20608.57,13330.22
EVT_97,2024-09-09,Marché créatif,Anvers,243,117,3219.75,1129.3
EVT_98,2025-06-06,Expo culturelle,Bruxelles,393,105,8016.64,4558.91
EVT_99,2025-02-12,Concert privé,Kinshasa,278,24,778.24,370.81
EVT_100,2025-05-26,Conférence,Lyon,347,261,19972.46,7813.43
EVT_101,2025-06-29,Workshop,Bruxelles,170,28,765.63,560.01
EVT_102,2024-11-16,Networking,Lyon,346,278,11014.91,6178.19
EVT_103,2024-05-23,Expo culturelle,Lyon,274,29,2004.86,976.53
EVT_104,2024-02-24,Concert privé,Kinshasa,326,65,3444.09,1857.56
EVT_105,2024-08-24,Conférence,Kinshasa,182,128,4496.58,2305.35
EVT_106,2024-01-20,Networking,Lille,175,56,2684.56,1404.59
EVT_107,2024-03-13,Expo culturelle,Paris,203,116,9187.09,4561.15
EVT_108,2024-04-03,Concert privé,Bruxelles,181,170,10171.83,4711.71
EVT_109,2025-02-28,Concert privé,Lyon,377,113,8647.75,3224.83
EVT_110,2024-09-23,Concert privé,Paris,146,33,811.29,411.54
EVT_111,2024-09-19,Marché créatif,Bruxelles,377,355,27555.0,19151.48
EVT_112,2024-11-22,Concert privé,Paris,380,232,7899.97,3635.91
EVT_113,2024-12-05,Concert privé,Anvers,110,88,5214.97,3541.49
EVT_114,2024-06-30,Networking,Bruxelles,78,73,2535.91,1245.69
EVT_115,2024-04-04,Workshop,Kinshasa,382,128,5292.43,3201.27
EVT_116,2024-04-13,Concert privé,Kinshasa,380,105,4453.72,2335.65
EVT_117,2024-01-14,Marché créatif,Lyon,379,299,9789.49,5082.78
EVT_118,2024-11-13,Marché créatif,Bruxelles,85,39,3096.87,1478.94
EVT_119,2024-04-24,Marché créatif,Kinshasa,81,80,5576.17,3735.74
EVT_120,2024-11-28,Concert privé,Kinshasa,202,79,5102.68,1836.0
